70 0 -169.267 -0.000
90 7 -152.967 -0.000
C0000000 0.000 1.000 -10.000 B
C0000001 0.000 1.000 -4.000 B
C0000002 0.000 1.000 -4.000 B
C0000003 0.000 1.000 -2.000 B
C0000004 0.000 1.000 -3.000 B
C0000005 0.000 1.000 -2.000 B
C0000006 0.000 1.000 -5.000 B
C0000007 0.000 1.000 -1.000 B
C0000008 0.000 1.000 -8.000 B
C0000009 0.000 1.000 -10.000 B
C0000010 0.000 1.000 -9.000 B
C0000011 0.000 1.000 -8.000 B
C0000012 0.000 1.000 -4.000 B
C0000013 0.000 1.000 -6.000 B
C0000014 0.000 1.000 -3.000 B
C0000015 0.000 1.000 -4.000 B
C0000016 0.000 1.000 -6.000 B
C0000017 0.000 1.000 -7.000 B
C0000018 0.000 1.000 -3.000 B
C0000019 0.000 1.000 -3.000 B
C0000020 0.000 1.000 -5.000 B
C0000021 0.000 1.000 -7.000 B
C0000022 0.000 1.000 -4.000 B
C0000023 0.000 1.000 -6.000 B
C0000024 0.000 1.000 -4.000 B
C0000025 0.000 1.000 -10.000 B
C0000026 0.000 1.000 -9.000 B
C0000027 0.000 1.000 -8.000 B
C0000028 0.000 1.000 -4.000 B
C0000029 0.000 1.000 -8.000 B
C0000030 0.000 1.000 -7.000 B
C0000031 0.000 1.000 -2.000 B
C0000032 0.000 1.000 -7.000 B
C0000033 0.000 1.000 -5.000 B
C0000034 0.000 1.000 -9.000 B
C0000035 0.000 1.000 -8.000 B
C0000036 0.000 1.000 -4.000 B
C0000037 0.000 1.000 -2.000 B
C0000038 0.000 1.000 -10.000 B
C0000039 0.000 1.000 -7.000 B
C0000040 0.000 1.000 -9.000 B
C0000041 0.000 1.000 -10.000 B
C0000042 0.000 1.000 -1.000 B
C0000043 0.000 1.000 -2.000 B
C0000044 0.000 1.000 -9.000 B
C0000045 0.000 1.000 -6.000 B
C0000046 0.000 1.000 -4.000 B
C0000047 0.000 1.000 -1.000 B
C0000048 0.000 1.000 -3.000 B
C0000049 0.000 1.000 -2.000 B
C0000050 0.000 1.000 -2.000 B
C0000051 0.000 1.000 -7.000 B
C0000052 0.000 1.000 -8.000 B
C0000053 0.000 1.000 -9.000 B
C0000054 0.000 1.000 -9.000 B
C0000055 0.000 1.000 -7.000 B
C0000056 0.000 1.000 -2.000 B
C0000057 0.000 1.000 -2.000 B
C0000058 0.000 1.000 -8.000 B
C0000059 0.000 1.000 -5.000 B
C0000060 0.000 1.000 -1.000 B
C0000061 0.000 1.000 -4.000 B
C0000062 0.000 1.000 -5.000 B
C0000063 0.000 1.000 -2.000 B
C0000064 0.000 1.000 -10.000 B
C0000065 0.000 1.000 -8.000 B
C0000066 0.000 1.000 -2.000 B
C0000067 0.000 1.000 -3.000 B
C0000068 0.000 1.000 -3.000 B
C0000069 0.000 1.000 -9.000 B
C0000132 0.000 inf -2.000 -5.000 C
C0000133 0.000 inf -10.000 -1.000 C
C0000134 0.000 inf -6.000 -6.000 C
C0000135 0.000 inf -10.000 -6.000 C
C0000136 0.000 inf -4.000 -8.000 C
C0000137 0.000 inf -4.000 -5.000 C
C0000138 0.000 inf -1.000 -5.000 C
C0000139 0.000 inf -7.000 -4.000 C
C0000140 0.000 inf -2.000 -7.000 C
C0000141 0.000 inf -7.000 -9.000 C
C0000142 0.000 inf -3.000 -7.000 C
C0000143 0.000 inf -2.000 -5.000 C
C0000144 0.000 inf -1.000 -4.000 C
C0000145 0.000 inf -7.000 -7.000 C
C0000146 0.000 inf -1.000 -9.000 C
C0000147 0.000 inf -5.000 -1.000 C
C0000148 0.000 inf -7.000 -6.000 C
C0000149 0.000 inf -9.000 -7.000 C
C0000150 0.000 inf -7.000 -1.000 C
C0000151 0.000 inf -4.000 -6.000 C
C0000152 0.000 inf -8.000 -10.000 C
C0000153 0.000 inf -2.000 -6.000 C
C0000154 0.000 inf -9.000 -1.000 C
C0000155 0.000 inf -10.000 -1.000 C
C0000156 0.000 inf -7.000 -8.000 C
C0000157 0.000 inf -5.000 -5.000 C
C0000158 0.000 inf -5.000 -1.000 C
C0000159 0.000 inf -5.000 -3.000 C
R0000000 < 15.000 0.000 5.000 0.000 5.000 7.000 4.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3.000 0.000 5.000 0.000 6.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 6.000 0.000 6.000 0.000 4.000 0.000 0.000 0.000 7.000 0.000 3.000 0.000 4.000 3.000 7.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 7.000 7.000 3.000 0.000 0.000 4.000 0.000 0.000 6.000 4.000 0.000 0.000 7.000 0.000 0.000 6.000 0.000 5.000 5.000 0.000 0.000 0.000 0.000 7.000 0.000 0.000 4.000 0.000 6.000 4.000 0.000 0.000 0.000 0.000 7.000 0.000 0.000 7.000 0.000 4.000 7.000 0.000 0.000 6.000 0.000 7.000 5.000 3.000 4.000 0.000 4.000 0.000 0.000 7.000 5.000 0.000 0.000 3.000 0.000 7.000 0.000 5.000 0.000 0.000 0.000 0.000 7.000 0.000 0.000 7.000 4.000 7.000 6.000 0.000 0.000 0.000 0.000 6.000 0.000 0.000 7.000 0.000 5.000 0.000 7.000 0.000 4.000 0.000 0.000 5.000 6.000 5.000 0.000 0.000 7.000 0.000 6.000 7.000 7.000 7.000 0.000 
R0000001 < 20.000 0.000 5.000 6.000 7.000 6.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3.000 6.000 7.000 5.000 0.000 0.000 6.000 0.000 0.000 0.000 0.000 0.000 0.000 4.000 0.000 0.000 6.000 5.000 5.000 6.000 3.000 0.000 0.000 0.000 4.000 7.000 0.000 0.000 0.000 0.000 7.000 0.000 0.000 0.000 7.000 0.000 0.000 0.000 3.000 0.000 0.000 7.000 7.000 5.000 0.000 0.000 0.000 0.000 4.000 6.000 3.000 0.000 0.000 7.000 0.000 6.000 0.000 5.000 7.000 0.000 0.000 0.000 6.000 0.000 6.000 0.000 6.000 3.000 4.000 0.000 0.000 0.000 6.000 0.000 0.000 0.000 0.000 5.000 0.000 0.000 7.000 4.000 0.000 3.000 0.000 0.000 0.000 0.000 0.000 3.000 7.000 4.000 0.000 6.000 0.000 0.000 3.000 0.000 0.000 6.000 0.000 0.000 7.000 0.000 5.000 0.000 0.000 7.000 0.000 4.000 5.000 0.000 5.000 7.000 7.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 7.000 0.000 5.000 6.000 6.000 0.000 6.000 0.000 0.000 6.000 0.000 4.000 0.000 4.000 4.000 0.000 5.000 0.000 0.000 0.000 7.000 6.000 0.000 
R0000002 < 19.000 0.000 0.000 0.000 0.000 3.000 0.000 6.000 3.000 7.000 0.000 0.000 0.000 0.000 5.000 0.000 5.000 0.000 0.000 0.000 0.000 0.000 0.000 5.000 5.000 0.000 7.000 0.000 3.000 0.000 0.000 4.000 0.000 0.000 0.000 0.000 0.000 0.000 7.000 0.000 0.000 0.000 4.000 0.000 6.000 0.000 4.000 5.000 0.000 6.000 7.000 0.000 0.000 0.000 0.000 6.000 0.000 4.000 3.000 0.000 5.000 0.000 0.000 0.000 0.000 0.000 5.000 0.000 0.000 6.000 0.000 0.000 0.000 4.000 7.000 0.000 0.000 5.000 3.000 0.000 0.000 0.000 0.000 3.000 0.000 6.000 0.000 0.000 0.000 0.000 4.000 0.000 3.000 7.000 0.000 0.000 6.000 5.000 7.000 0.000 3.000 5.000 7.000 0.000 0.000 0.000 6.000 0.000 7.000 7.000 6.000 0.000 6.000 5.000 5.000 5.000 0.000 3.000 5.000 0.000 7.000 0.000 3.000 0.000 0.000 0.000 0.000 0.000 3.000 6.000 0.000 5.000 0.000 0.000 6.000 4.000 0.000 4.000 7.000 0.000 7.000 6.000 0.000 3.000 6.000 0.000 0.000 0.000 0.000 5.000 5.000 5.000 6.000 3.000 7.000 7.000 0.000 7.000 7.000 4.000 0.000 
R0000003 < 20.000 0.000 0.000 0.000 0.000 0.000 0.000 5.000 6.000 0.000 0.000 4.000 6.000 0.000 6.000 5.000 3.000 0.000 0.000 0.000 0.000 7.000 0.000 0.000 0.000 4.000 0.000 0.000 0.000 0.000 4.000 0.000 0.000 3.000 7.000 4.000 0.000 0.000 6.000 4.000 0.000 6.000 3.000 0.000 0.000 5.000 3.000 0.000 6.000 3.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 7.000 0.000 5.000 3.000 3.000 0.000 0.000 4.000 6.000 0.000 4.000 0.000 0.000 0.000 7.000 5.000 5.000 0.000 0.000 7.000 4.000 0.000 0.000 7.000 0.000 0.000 0.000 6.000 0.000 0.000 0.000 0.000 3.000 0.000 0.000 3.000 5.000 0.000 0.000 0.000 0.000 5.000 0.000 0.000 3.000 5.000 0.000 0.000 0.000 0.000 3.000 4.000 3.000 0.000 4.000 3.000 6.000 3.000 0.000 5.000 6.000 0.000 5.000 0.000 5.000 6.000 0.000 0.000 0.000 0.000 6.000 0.000 6.000 0.000 0.000 3.000 0.000 7.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 5.000 7.000 6.000 0.000 0.000 0.000 0.000 0.000 5.000 0.000 0.000 0.000 6.000 0.000 
R0000004 < 20.000 3.000 5.000 6.000 7.000 0.000 7.000 0.000 4.000 0.000 7.000 0.000 0.000 4.000 0.000 0.000 0.000 0.000 0.000 0.000 6.000 0.000 0.000 0.000 0.000 4.000 0.000 0.000 0.000 0.000 3.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 6.000 0.000 0.000 3.000 0.000 0.000 0.000 0.000 0.000 7.000 4.000 6.000 4.000 5.000 4.000 5.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 6.000 7.000 6.000 0.000 0.000 7.000 0.000 0.000 7.000 0.000 3.000 0.000 0.000 0.000 0.000 0.000 3.000 0.000 0.000 0.000 0.000 7.000 0.000 3.000 0.000 5.000 5.000 0.000 0.000 6.000 5.000 4.000 7.000 0.000 0.000 6.000 0.000 6.000 4.000 0.000 0.000 0.000 5.000 4.000 5.000 0.000 7.000 4.000 0.000 0.000 4.000 0.000 0.000 7.000 0.000 5.000 7.000 0.000 0.000 0.000 4.000 0.000 0.000 7.000 7.000 0.000 0.000 4.000 0.000 4.000 0.000 0.000 6.000 3.000 0.000 6.000 6.000 0.000 0.000 7.000 3.000 0.000 4.000 4.000 5.000 0.000 7.000 0.000 0.000 0.000 5.000 7.000 0.000 5.000 3.000 
R0000005 < 18.000 0.000 0.000 0.000 0.000 0.000 4.000 5.000 0.000 0.000 5.000 6.000 0.000 3.000 0.000 5.000 4.000 5.000 0.000 0.000 0.000 0.000 0.000 6.000 0.000 0.000 0.000 4.000 3.000 0.000 0.000 0.000 0.000 5.000 0.000 7.000 0.000 6.000 6.000 0.000 0.000 7.000 0.000 5.000 6.000 4.000 0.000 0.000 0.000 7.000 0.000 0.000 7.000 7.000 0.000 7.000 7.000 0.000 4.000 0.000 3.000 6.000 3.000 0.000 0.000 0.000 7.000 0.000 6.000 4.000 5.000 5.000 3.000 6.000 3.000 0.000 0.000 6.000 0.000 6.000 0.000 0.000 0.000 6.000 0.000 0.000 0.000 0.000 7.000 5.000 0.000 0.000 5.000 0.000 6.000 0.000 0.000 3.000 0.000 5.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 7.000 0.000 5.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 4.000 0.000 4.000 0.000 0.000 3.000 0.000 5.000 0.000 0.000 0.000 6.000 0.000 5.000 6.000 3.000 0.000 0.000 0.000 0.000 0.000 4.000 0.000 0.000 7.000 0.000 6.000 0.000 0.000 0.000 0.000 0.000 4.000 7.000 0.000 0.000 6.000 0.000 
R0000006 < 17.000 0.000 0.000 4.000 7.000 3.000 5.000 6.000 0.000 4.000 3.000 0.000 5.000 0.000 0.000 0.000 0.000 0.000 5.000 0.000 0.000 0.000 3.000 4.000 6.000 0.000 0.000 0.000 4.000 0.000 0.000 0.000 0.000 3.000 5.000 0.000 7.000 0.000 6.000 0.000 7.000 6.000 5.000 0.000 0.000 0.000 5.000 0.000 0.000 3.000 7.000 3.000 0.000 0.000 3.000 5.000 5.000 0.000 0.000 4.000 0.000 5.000 3.000 0.000 0.000 6.000 0.000 0.000 0.000 0.000 3.000 7.000 4.000 0.000 0.000 7.000 0.000 6.000 7.000 0.000 0.000 6.000 0.000 5.000 0.000 0.000 6.000 4.000 7.000 6.000 0.000 0.000 0.000 0.000 0.000 3.000 0.000 0.000 0.000 0.000 4.000 5.000 0.000 0.000 0.000 0.000 3.000 7.000 0.000 5.000 7.000 5.000 7.000 3.000 0.000 3.000 0.000 0.000 0.000 0.000 0.000 5.000 3.000 0.000 6.000 4.000 3.000 5.000 0.000 5.000 0.000 0.000 4.000 0.000 0.000 4.000 0.000 0.000 6.000 4.000 6.000 7.000 0.000 0.000 0.000 0.000 3.000 0.000 4.000 0.000 5.000 0.000 0.000 7.000 0.000 0.000 0.000 0.000 4.000 3.000 0.000 
