instance;seed;norm_leader;norm_follower;perc_leader;perc_follower;
denegre-miblp_20_20_50_0110_15_;10;52.421370;107.331263;0.328141;0.671859;
denegre-milp_30_30_30_2310_5_;1;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_;2;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_;3;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_;4;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_;5;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_;6;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_;7;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_;8;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_;9;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_;10;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e1_;1;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e1_;2;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e1_;3;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e1_;4;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e1_;5;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e1_;6;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e1_;7;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e1_;8;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e1_;9;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e1_;10;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e2_;1;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e2_;2;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e2_;3;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e2_;4;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e2_;5;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e2_;6;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e2_;7;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e2_;8;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_5_e2_;9;90.244113;32.031235;0.738040;0.261960;
denegre-milp_30_30_30_2310_5_e2_;10;73.252986;26.570661;0.733824;0.266176;
denegre-milp_30_30_30_2310_10_;1;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_;2;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_;3;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_;4;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_;5;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_;6;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_;7;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_;8;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_;9;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_;10;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e1_;1;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e1_;2;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e1_;3;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e1_;4;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e1_;5;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e1_;6;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e1_;7;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e1_;8;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e1_;9;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e1_;10;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e2_;1;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e2_;2;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e2_;3;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e2_;4;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e2_;5;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e2_;6;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e2_;7;76.537572;46.400431;0.622570;0.377430;
denegre-milp_30_30_30_2310_10_e2_;8;93.284511;41.976184;0.689665;0.310335;
denegre-milp_30_30_30_2310_10_e2_;9;93.284511;41.976184;0.689665;0.310335;
denegre-milp_30_30_30_2310_10_e2_;10;76.537572;46.400431;0.622570;0.377430;
xuwang-bmilplib_10_;1;63.442888;75.133215;0.457820;0.542180;
xuwang-bmilplib_10_;2;97.867257;72.518963;0.574385;0.425615;
xuwang-bmilplib_10_;3;90.094395;106.475349;0.458333;0.541667;
xuwang-bmilplib_10_;4;79.126481;88.442071;0.472204;0.527796;
xuwang-bmilplib_10_;5;95.566731;84.894052;0.529571;0.470429;
xuwang-bmilplib_10_;6;82.377181;96.876210;0.459557;0.540443;
xuwang-bmilplib_10_;7;90.553851;98.132563;0.479917;0.520083;
xuwang-bmilplib_10_;8;87.840765;89.554453;0.495170;0.504830;
xuwang-bmilplib_10_;9;93.893557;78.759126;0.543829;0.456171;
xuwang-bmilplib_10_;10;74.853190;74.605630;0.500828;0.499172;
xuwang-bmilplib_60_;1;238.740445;202.494444;0.541073;0.458927;
xuwang-bmilplib_60_;2;206.550236;219.811283;0.484449;0.515551;
xuwang-bmilplib_60_;3;222.858700;234.113220;0.487686;0.512314;
xuwang-bmilplib_60_;4;225.151060;220.274828;0.505474;0.494526;
xuwang-bmilplib_60_;5;226.472956;251.561126;0.473759;0.526241;
xuwang-bmilplib_60_;6;203.776839;202.543822;0.501517;0.498483;
xuwang-bmilplib_60_;7;226.682597;237.244600;0.488617;0.511383;
xuwang-bmilplib_60_;8;222.766694;237.014767;0.484506;0.515494;
xuwang-bmilplib_60_;9;214.242853;213.037555;0.501410;0.498590;
xuwang-bmilplib_60_;10;206.855022;220.943432;0.483534;0.516466;
xuwang-bmilplib_110_;1;319.601314;292.410670;0.522214;0.477786;
xuwang-bmilplib_110_;2;305.748262;301.560939;0.503447;0.496553;
xuwang-bmilplib_110_;3;312.741107;314.189433;0.498845;0.501155;
xuwang-bmilplib_110_;4;288.142326;334.483183;0.462786;0.537214;
xuwang-bmilplib_110_;5;314.671257;304.522577;0.508195;0.491805;
xuwang-bmilplib_110_;6;309.093837;300.226581;0.507276;0.492724;
xuwang-bmilplib_110_;7;315.169796;313.507576;0.501322;0.498678;
xuwang-bmilplib_110_;8;325.355191;292.148935;0.526887;0.473113;
xuwang-bmilplib_110_;9;300.388082;299.574699;0.500678;0.499322;
xuwang-bmilplib_110_;10;321.535379;299.215641;0.517978;0.482022;
xuwang-bmilplib_160_;1;375.442406;374.645165;0.500531;0.499469;
xuwang-bmilplib_160_;2;382.001309;360.916888;0.514190;0.485810;
xuwang-bmilplib_160_;3;372.315726;380.933065;0.494280;0.505720;
xuwang-bmilplib_160_;4;374.925326;385.731772;0.492897;0.507103;
xuwang-bmilplib_160_;5;351.931812;390.892568;0.473775;0.526225;
xuwang-bmilplib_160_;6;370.321482;342.343395;0.519629;0.480371;
xuwang-bmilplib_160_;7;375.865667;393.984771;0.488232;0.511768;
xuwang-bmilplib_160_;8;373.668302;369.835098;0.502578;0.497422;
xuwang-bmilplib_160_;9;381.641193;401.924122;0.487057;0.512943;
xuwang-bmilplib_160_;10;366.831024;384.313674;0.488363;0.511637;
xuwang-bmilplib_210_;1;424.752869;425.052938;0.499823;0.500177;
xuwang-bmilplib_210_;2;427.878487;409.222433;0.511143;0.488857;
xuwang-bmilplib_210_;3;422.958627;393.456478;0.518068;0.481932;
xuwang-bmilplib_210_;4;395.446583;438.374269;0.474258;0.525742;
xuwang-bmilplib_210_;5;434.131317;426.072764;0.504684;0.495316;
xuwang-bmilplib_210_;6;429.901151;407.007371;0.513678;0.486322;
xuwang-bmilplib_210_;7;400.457239;422.809650;0.486425;0.513575;
xuwang-bmilplib_210_;8;417.087521;409.686465;0.504476;0.495524;
xuwang-bmilplib_210_;9;430.815506;429.058271;0.501022;0.498978;
xuwang-bmilplib_210_;10;423.725147;408.729740;0.509007;0.490993;
xuwang-bmilplib_260_;1;487.934422;464.052799;0.512543;0.487457;
xuwang-bmilplib_260_;2;443.756690;479.204549;0.480797;0.519203;
xuwang-bmilplib_260_;3;455.522777;484.954637;0.484353;0.515647;
xuwang-bmilplib_260_;4;468.229645;466.855438;0.500735;0.499265;
xuwang-bmilplib_260_;5;486.507965;485.949586;0.500287;0.499713;
xuwang-bmilplib_260_;6;470.214845;462.500811;0.504135;0.495865;
xuwang-bmilplib_260_;7;469.533811;450.226610;0.510496;0.489504;
xuwang-bmilplib_260_;8;471.167698;468.626717;0.501352;0.498648;
xuwang-bmilplib_260_;9;476.632982;483.423210;0.496464;0.503536;
xuwang-bmilplib_260_;10;463.923485;475.434538;0.493873;0.506127;
